The most painful thing is losing yourself in the process of loving someone too much, and forgetting that you are special too.|Earnest Hemmingway|
The price of being a sheep is boredom. The price of being a wolf is loneliness.|Hugh MacLeod|
Learn to keep people dependent on you|"48 Laws of Power"|
Crush your enemy totally|"48 Laws of Power"|
Keep your hands clean|"48 Laws of Power"|
Don’t let anyone tell you they know the rules for your life.|unknown|
Familiarity breeds contempt|unknown|
Be self-disciplined — this means finding someone wise or smart and choosing to follow them. To be disciplined is to follow in a good way. To be self-disciplined is to follow in a better way.|Sister Corita Kent|
When you're not practicing, someone somewhere is and when you meet him, he will win|unknown|
For men failure is coterminous with Death.|unknown|
You are a little soul carrying about a corpse, as Epictetus used to say.|Marcus Aurelius|
Memento mori|unknown|
Shut up and carry on, the scream will become a yawn|Emily Haines|
Success is the ability to go from failure to failure without losing your enthusiasm.|Winston Churchill|
He who endures to the end, wins.|unknown|
In youth, we are happy for no reason at all — in age we pretend to be happy for millions of reasons.|unknown|
Do not commit to anyone|"48 Laws of Power"|
Play the perfect courtier|"48 Laws of Power"|
Re-create yourself|"48 Laws of Power"|
You can’t miss what you can’t measure|unknown|
New money screams old money whispers|unknown|
Nothing is a mistake. There’s no win and no fail, there’s only make.|Sister Corita Kent|
This is your life and it's ending one minute at a time|unknown|
Most guys are trying to be somebody. You're already somebody.|Uncle VasiliyZaitzev|
Happinesses is not about public opinion|unknown|
No matter who it what has wronged you, it is meaningless if you choose not to remember it.|unknown|
Don't have more passion for your past than for your future.|unknown|
Failure is only the opportunity to begin again, only this time more wisely.|Henry Ford|
A useless life is an early death|unknown|
If you can't find joy in yourself how can you hope to find it in others?|unknown|
Never outshine the master|"48 Laws of Power"|Always make those above you feel comfortably superior.  In your desire to please or impress them, do not go too far in displaying your talents or you might accomplish the opposite – inspire fear and insecurity.  Make your masters appear more brilliant than they are and you will attain the heights of power.
When asking for help, appeal to people's self-interest, never appeal to their mercy or gratitude|"48 Laws of Power"|
Use absence to increase respeect and honor|"48 Laws of Power"|
Remember: The Power of Words|unknown|
Money shouts, wealth whispers|unknown|
The only rule is work. If you work it will lead to something. It’s the people who do all of the work all of the time who eventually catch on to things.|Sister Corita Kent|
Work out your own salvation with fear and trembling|unknown|
Cowards die many times before their deaths: The valiant never taste death but once|William Shakespeare, Julius Caesar|
Reject aggression, revenge and retaliation and you'll be happier for it|unknown|
If you're going through hell at least act like you own the place|unknown|
Beware the fury of a patient man|unknown|
Our greatest glory is not in never falling, but in rising every time we fail.|Confucious|
Be careful what you pretend to be because that is what you are.|unknown|
A smile costs nothing|unknown|
Never put too much trust in friends, learn how to use enemies|"48 Laws of Power"|Be wary of friends — they will betrya you more quickly, for they are easily aroused to envy. They also become spoiled and tyrannical. But hire a former enemy and he will be more loyal than a friend, because he has more to prove. In fact you have morem to fear from friends than from enemies. f you have no enemies, find a way to make them
Play a sucker to catch a sucker — seem dumber than your mark|"48 Laws of Power"|
Treat ‘em like dirt and they’ll stick like mud|unknown|
General duties of a teacher — pull everything out of your students.|Sister Corita Kent|
Remember that blue sky|unknown|
A rising tide lifts all boats|unknown|
Let other's lead small lives, but not you. Let other's argue over small things, but not you. Let other's cry over small things, but not you. Let other's leave their future in other's hands, but not you.|Jim Rowan|
Have dreams that are worth losing sleep for|unknown|
A completely predictable future is already the past|Alan Watts|
The trouble is, you think you have time.|Buddha|
Play stupid games, win stupid prizes|unknown|
The pathway to freedom always begins in the mind|unknown|
Success breeds ambition|unknown|
No great thing is created suddenly|unknown|""
